time; o_metric; dfl_metric; v_metric; fit_cluster
2.16;  0.858783; 0.325779; 0.201934; 0.0564957
2.176;  0.85954; 0.325757; 0.209181; 0.0585709
2.192;  0.860554; 0.325744; 0.205063; 0.0574832
2.208;  0.860862; 0.325722; 0.203768; 0.057137
2.224;  0.861833; 0.325704; 0.205994; 0.057823
2.24;  0.862559; 0.325692; 0.203113; 0.0570603
2.256;  0.862965; 0.325677; 0.204307; 0.0574201
2.272;  0.864007; 0.325666; 0.205495; 0.0578219
2.288;  0.865036; 0.325662; 0.201393; 0.0567343
2.304;  0.865619; 0.325652; 0.203379; 0.0573306
2.32;  0.866107; 0.325639; 0.209828; 0.0591796
2.336;  0.866501; 0.325634; 0.203149; 0.0573208
2.352;  0.866932; 0.325626; 0.208231; 0.0587828
2.368;  0.866719; 0.325614; 0.206814; 0.0583661
2.384;  0.868251; 0.325616; 0.202242; 0.0571769
2.4;  0.868958; 0.325615; 0.203255; 0.0575103
2.416;  0.869847; 0.325622; 0.203512; 0.0576431
2.432;  0.870503; 0.325626; 0.199237; 0.0564755
2.448;  0.870461; 0.325631; 0.20609; 0.058416
2.464;  0.870378; 0.325634; 0.20243; 0.0573736
2.48;  0.870693; 0.325632; 0.203371; 0.0576608
2.496;  0.872154; 0.325651; 0.198166; 0.0562826
2.512;  0.872594; 0.325661; 0.204089; 0.0579959
2.528;  0.873068; 0.325674; 0.20197; 0.0574274
2.544;  0.873662; 0.325688; 0.204353; 0.0581468
2.56;  0.874007; 0.325691; 0.209555; 0.0596513
2.576;  0.874889; 0.325711; 0.191421; 0.0545475
2.592;  0.876193; 0.325734; 0.196729; 0.0561476
2.608;  0.877364; 0.325752; 0.200666; 0.0573508
2.624;  0.8779; 0.325762; 0.202773; 0.0579905
2.64;  0.878272; 0.325779; 0.206916; 0.0592033
2.656;  0.878463; 0.325799; 0.201939; 0.0577954
2.672;  0.87956; 0.325823; 0.196749; 0.0563847
2.688;  0.879747; 0.325842; 0.198502; 0.0569022
2.704;  0.880622; 0.325859; 0.204314; 0.0586296
2.72;  0.881594; 0.325883; 0.202756; 0.0582511
2.736;  0.882228; 0.325907; 0.197457; 0.0567739
2.752;  0.882449; 0.325928; 0.200407; 0.05764
2.768;  0.883155; 0.325958; 0.204322; 0.0588184
2.784;  0.884024; 0.325989; 0.201861; 0.0581727
2.8;  0.885003; 0.326022; 0.197805; 0.0570729
2.816;  0.884482; 0.326043; 0.206562; 0.059568
2.832;  0.884955; 0.326072; 0.205768; 0.0593762
2.848;  0.886039; 0.326111; 0.200332; 0.0578855
2.864;  0.885788; 0.326137; 0.20065; 0.0579654
2.88;  0.886789; 0.32617; 0.202689; 0.0586266
2.896;  0.887424; 0.326208; 0.204442; 0.059183
2.912;  0.888137; 0.326242; 0.205016; 0.059403
2.928;  0.888599; 0.32628; 0.200863; 0.0582366
2.944;  0.88817; 0.326319; 0.202653; 0.0587343
2.96;  0.889441; 0.32636; 0.197922; 0.0574524
2.976;  0.889792; 0.326397; 0.203844; 0.0592013
2.992;  0.891774; 0.326442; 0.18983; 0.0552618
3.008;  0.891759; 0.326474; 0.20195; 0.058795
3.024;  0.892237; 0.326514; 0.19826; 0.0577586
3.04;  0.893944; 0.326559; 0.188648; 0.0550712
3.056;  0.894369; 0.326601; 0.19932; 0.0582218
3.072;  0.89405; 0.326642; 0.204077; 0.0595974
3.088;  0.894596; 0.326684; 0.200673; 0.0586469
3.104;  0.894636; 0.326724; 0.199926; 0.0584383
3.12;  0.8954; 0.326764; 0.194483; 0.0569029
3.136;  0.896785; 0.326814; 0.196942; 0.0577201
3.152;  0.897058; 0.326857; 0.201701; 0.0591406
3.168;  0.898561; 0.326897; 0.193412; 0.0568122
3.184;  0.898825; 0.326944; 0.194953; 0.0572898
3.2;  0.899274; 0.326988; 0.196761; 0.0578579
3.216;  0.899896; 0.327028; 0.20124; 0.059223
